title,link,source,date_collected
قوات العشائر تدخل السويداء والهجري يطالب بقوات فض نزاع من دمشق,https://www.aljazeera.net/news/2025/7/18/%d8%b9%d8%a7%d8%ac%d9%84-%d9%85%d8%b5%d8%a7%d8%af%d8%b1-%d9%85%d8%ad%d9%84%d9%8a%d8%a9-%d9%84%d9%84%d8%ac%d8%b2%d9%8a%d8%b1%d8%a9-%d9%82%d9%88%d8%a7%d8%aa-%d9%85%d8%b3%d9%84%d8%ad%d8%a9,Al Jazeera Arabic,2025-07-18T06:07:05.905696+00:00
إسرائيل تفاقم الأزمة الإنسانية والمخاطر البيئية في قطاع غزة,https://www.aljazeera.net/videos/2025/7/18/%d8%a5%d8%b3%d8%b1%d8%a7%d8%a6%d9%8a%d9%84-%d8%aa%d9%81%d8%a7%d9%82%d9%85-%d8%a7%d9%84%d8%a3%d8%b2%d9%85%d8%a9-%d8%a7%d9%84%d8%a5%d9%86%d8%b3%d8%a7%d9%86%d9%8a%d8%a9,Al Jazeera Arabic,2025-07-18T06:07:05.905731+00:00
التطورات في سوريا.. قوات العشائر تدخل السويداء وبيان عربي تركي يدعم دمشق,https://www.aljazeera.net/news/liveblog/2025/7/18/%d8%a7%d9%84%d8%aa%d8%b7%d9%88%d8%b1%d8%a7%d8%aa-%d9%81%d9%8a-%d8%b3%d9%88%d8%b1%d9%8a%d8%a7-%d8%a7%d9%84%d8%ac%d9%8a%d8%b4-%d9%8a%d9%86%d8%b3%d8%ad%d8%a8-%d9%85%d9%86,Al Jazeera Arabic,2025-07-18T06:07:05.905753+00:00
واشنطن تندد بالعنف في سوريا وتدعو للحوار,https://www.aljazeera.net/news/2025/7/17/%d9%88%d8%a7%d8%b4%d9%86%d8%b7%d9%86-%d8%aa%d9%86%d8%af%d8%af-%d8%a8%d8%a7%d9%84%d8%b9%d9%86%d9%81-%d9%81%d9%8a-%d8%b3%d9%88%d8%b1%d9%8a%d8%a7-%d9%88%d8%aa%d8%af%d8%b9%d9%88,Al Jazeera Arabic,2025-07-18T06:07:05.905770+00:00
من هم الدروز ولماذا تضرب إسرائيل سوريا بذريعة حمايتهم؟,https://www.aljazeera.net/news/2025/7/17/%d9%85%d9%86-%d9%87%d9%85-%d8%a7%d9%84%d8%af%d8%b1%d9%88%d8%b2-%d9%88%d9%84%d9%85%d8%a7%d8%b0%d8%a7-%d8%aa%d9%82%d9%88%d9%84-%d8%a5%d8%b3%d8%b1%d8%a7%d8%a6%d9%8a%d9%84-%d8%a5%d9%86%d9%87%d8%a7,Al Jazeera Arabic,2025-07-18T06:07:05.905784+00:00
إسرائيل تطالب الأمم المتحدة بإلغاء لجنة حقوق الإنسان بالأراضي الفلسطينية,https://www.aljazeera.net/news/2025/7/17/%d8%a5%d8%b3%d8%b1%d8%a7%d8%a6%d9%8a%d9%84-%d8%aa%d8%b7%d8%a7%d9%84%d8%a8-%d8%a7%d9%84%d8%a3%d9%85%d9%85-%d8%a7%d9%84%d9%85%d8%aa%d8%ad%d8%af%d8%a9-%d8%a8%d8%a5%d9%84%d8%ba%d8%a7%d8%a1,Al Jazeera Arabic,2025-07-18T06:07:05.905798+00:00
تسريب البيانات كشف تفاصيل عن جواسيس وجنود بريطانيين,https://www.aljazeera.net/news/2025/7/17/%d8%aa%d8%b3%d8%b1%d9%8a%d8%a8-%d8%a7%d9%84%d8%a8%d9%8a%d8%a7%d9%86%d8%a7%d8%aa-%d9%83%d8%b4%d9%81-%d8%aa%d9%81%d8%a7%d8%b5%d9%8a%d9%84-%d8%b9%d9%86-%d8%ac%d9%88%d8%a7%d8%b3%d9%8a%d8%b3,Al Jazeera Arabic,2025-07-18T06:07:05.905811+00:00
تنديد أممي بمقتل عشرات المدنيين في كردفان,https://www.aljazeera.net/news/2025/7/17/%d8%aa%d9%86%d8%af%d9%8a%d8%af-%d8%a3%d9%85%d9%85%d9%8a-%d8%a8%d9%85%d9%82%d8%aa%d9%84-%d8%b9%d8%b4%d8%b1%d8%a7%d8%aa-%d8%a7%d9%84%d9%85%d8%af%d9%86%d9%8a%d9%8a%d9%86-%d9%81%d9%8a,Al Jazeera Arabic,2025-07-18T06:07:05.905824+00:00
مجموعة لاهاي تتخذ إجراءات ملموسة ضد إسرائيل وتحظر توريد الأسلحة,https://www.aljazeera.net/videos/2025/7/17/%d9%85%d8%ac%d9%85%d9%88%d8%b9%d8%a9-%d9%84%d8%a7%d9%87%d8%a7%d9%8a-%d8%aa%d8%aa%d8%ae%d8%b0-%d8%a5%d8%ac%d8%b1%d8%a7%d8%a1%d8%a7%d8%aa-%d9%85%d9%84%d9%85%d9%88%d8%b3%d8%a9-%d8%b6%d8%af,Al Jazeera Arabic,2025-07-18T06:07:05.905837+00:00
استهداف إسرائيلي مدروس للكنائس في غزة يهدف لتهجير المسيحيين,https://www.aljazeera.net/videos/2025/7/17/%d8%a7%d8%b3%d8%aa%d9%87%d8%af%d8%a7%d9%81-%d8%a5%d8%b3%d8%b1%d8%a7%d8%a6%d9%8a%d9%84%d9%8a-%d9%85%d8%af%d8%b1%d9%88%d8%b3-%d9%84%d9%84%d9%83%d9%86%d8%a7%d8%a6%d8%b3-%d9%81%d9%8a-%d8%ba%d8%b2%d8%a9,Al Jazeera Arabic,2025-07-18T06:07:05.905849+00:00
https://www.aljazeera.net/news/2025/8/3/الشرطة-الألمانية-تستخدم-العنف-وتعتقل